index_name,index_variant,median_time_lookup_ns,median_time_bulk_lookup_ns,throughput_in_s,index_size,build_time_ns,searcher_name,dataset_name
DynamicPGM,8192,2226.79,1686.8,592839,3200008520,82441578075,BinarySearch,./data/fb_200M_uint64
ALEX,1,689.272,349.439,2.86173e+06,4607459616,74155579173,BinarySearch,./data/books_200M_uint64
ALEX,4,643.021,260.941,3.83228e+06,1152069800,16731407932,BinarySearch,./data/books_200M_uint64
ALEX,8,634.295,172.933,5.78259e+06,576049120,7075282161,BinarySearch,./data/books_200M_uint64
ALEX,16,664.521,129.118,7.74487e+06,288101088,2959222262,BinarySearch,./data/books_200M_uint64
ALEX,32,790.831,117.277,8.52685e+06,144122592,1341985463,BinarySearch,./data/books_200M_uint64
ALEX,64,786.008,104.857,9.53678e+06,72131896,625959454,BinarySearch,./data/books_200M_uint64
ALEX,128,833.739,91.2382,1.09603e+07,36134824,298698716,BinarySearch,./data/books_200M_uint64
ALEX,256,846.841,97.4588,1.02607e+07,18073176,131174675,BinarySearch,./data/books_200M_uint64
ALEX,512,916.413,56.1585,1.78068e+07,9073056,59945515,BinarySearch,./data/books_200M_uint64
ALEX,1024,947.507,42.2216,2.36846e+07,4566496,28372385,BinarySearch,./data/books_200M_uint64
ALEX,2048,880.071,36.1876,2.76338e+07,2288632,12773535,BinarySearch,./data/books_200M_uint64
ALEX,4096,1078.5,33.5468,2.98091e+07,1155816,6561953,BinarySearch,./data/books_200M_uint64
ALEX,8192,1213.96,31.1747,3.20773e+07,580352,3150499,BinarySearch,./data/books_200M_uint64
BTree,32,1141.21,527.047,1.89736e+06,116016232,109996049,BinarySearch,./data/books_200M_uint64
BTree,1,1513.46,1058.05,945131,3712500896,4820440982,BinarySearch,./data/books_200M_uint64
BTree,4,1280.58,791.983,1.26265e+06,928126304,874095729,BinarySearch,./data/books_200M_uint64
BTree,16,1237.84,499.436,2.00226e+06,232032112,221093301,BinarySearch,./data/books_200M_uint64
BTree,64,1082.02,432.632,2.31143e+06,58008568,24319707,BinarySearch,./data/books_200M_uint64
BTree,128,1167.84,294.708,3.39319e+06,29004872,17111180,BinarySearch,./data/books_200M_uint64
BTree,512,1158.83,192.846,5.1855e+06,7251896,2906149,BinarySearch,./data/books_200M_uint64
BTree,1024,1173.04,116,8.62071e+06,3626672,2012022,BinarySearch,./data/books_200M_uint64
BTree,4096,1263.83,72.7224,1.37509e+07,906864,415017,BinarySearch,./data/books_200M_uint64
BTree,16384,1560.29,55.7106,1.79499e+07,227048,89047,BinarySearch,./data/books_200M_uint64
BTree,65536,1663.71,42.9744,2.32697e+07,57096,40577,BinarySearch,./data/books_200M_uint64
BTree,262144,1683.85,31.3462,3.19018e+07,14608,15087,BinarySearch,./data/books_200M_uint64
DynamicPGM,16,1647.32,1064.63,939298,3212266184,101677146199,BinarySearch,./data/books_200M_uint64
DynamicPGM,4,1767.6,1117.37,894958,3313738504,134559637694,BinarySearch,./data/books_200M_uint64
DynamicPGM,8,1566.82,962.314,1.03916e+06,3235987576,114196786333,BinarySearch,./data/books_200M_uint64
DynamicPGM,32,1647.66,1135.99,880289,3204188712,95393994802,BinarySearch,./data/books_200M_uint64
DynamicPGM,64,1744.12,1176.17,850218,3201284456,92858936615,BinarySearch,./data/books_200M_uint64
DynamicPGM,256,1774.14,1280.6,780885,3200096032,86558081994,BinarySearch,./data/books_200M_uint64
DynamicPGM,1024,2102.82,1444.18,692435,3200008160,84731552131,BinarySearch,./data/books_200M_uint64
